NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
SENA MADUREIRA;AC;;;24;1;;C;4;A;A;18;4;2;5;5;5;
PORTO ACRE;AC;;;23;1;;B;7;B;A;13;5;2;5;5;5;
CRUZEIRO DO SUL;AC;;;22;1;;B;5;A;A;;;;;;;
SENA MADUREIRA;AC;;;30;1;;D;2;A;A;18;2;4;5;5;2;
SENADOR GUIOMARD;AC;;;36;1;;F;4;A;A;23;2;5;5;5;5;
EPITACIOLANDIA;AC;;;37;1;;O;4;A;A;13;0;5;5;5;5;
RIO BRANCO;AC;;;27;1;;C;3;A;E;18;0;5;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;G;2;A;B;16;4;0;5;5;5;
CRUZEIRO DO SUL;AC;;;18;3;;B;2;B;A;16;2;0;5;5;5;
CRUZEIRO DO SUL;AC;;;16;3;;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;25;1;;D;4;A;A;19;5;5;5;5;0;
RIO BRANCO;AC;;;23;1;;B;4;A;A;19;5;0;5;5;4;
RIO BRANCO;AC;;;18;1;;B;6;A;A;;;;;;;
CRUZEIRO DO SUL;AC;CRUZEIRO DO SUL;AC;31;2;1;B;2;E;A;17;4;5;5;4;5;
RIO BRANCO;AC;;;15;3;;E;5;A;A;;;;;;;
SENA MADUREIRA;AC;;;25;1;;C;4;A;A;19;5;0;5;5;5;
RIO BRANCO;AC;;;18;1;;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;38;1;;A;4;A;A;;;;;;;
RIO BRANCO;AC;;;24;3;;B;3;D;E;19;3;5;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;A;7;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;22;2;1;B;5;A;A;;;;;;;
RIO BRANCO;AC;;;38;1;;D;3;A;A;18;2;5;5;4;5;
RIO BRANCO;AC;;;24;1;;D;5;A;A;18;5;4;5;5;5;
RIO BRANCO;AC;;;32;1;;G;2;A;A;17;0;5;5;2;5;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;B;5;A;A;;;;;;;
RIO BRANCO;AC;;;18;1;;K;3;A;A;;;;;;;
RIO BRANCO;AC;;;32;1;;B;3;A;A;14;5;5;5;5;5;
RIO BRANCO;AC;;;40;1;;C;2;A;E;15;5;5;5;5;3;
RIO BRANCO;AC;;;25;1;;B;3;B;A;17;5;0;5;5;5;
RIO BRANCO;AC;;;20;1;;F;5;A;A;;;;;;;
RIO BRANCO;AC;;;17;3;;B;5;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;26;1;;B;6;A;A;;;;;;;
MANCIO LIMA;AC;;;21;1;;A;3;A;A;;;;;;;
RIO BRANCO;AC;;;19;3;;B;4;B;A;16;5;2;5;4;4;
RIO BRANCO;AC;;;24;1;;C;4;A;A;16;5;5;5;5;5;
RIO BRANCO;AC;;;26;1;;B;8;A;A;18;5;5;5;5;5;
RIO BRANCO;AC;;;22;1;;B;6;A;A;;;;;;;
RIO BRANCO;AC;;;31;1;;C;3;B;A;25;5;5;5;5;5;
RIO BRANCO;AC;;;26;1;;C;7;B;B;23;5;3;5;5;5;
RIO BRANCO;AC;;;28;1;;B;6;B;A;20;5;5;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;16;2;1;B;4;A;A;;;;;;;
SENA MADUREIRA;AC;;;20;1;;C;4;A;A;16;5;4;5;4;5;
RIO BRANCO;AC;RIO BRANCO;AC;19;2;1;B;1;A;A;18;4;4;4;4;5;
RIO BRANCO;AC;;;26;1;;B;3;A;A;22;5;5;5;4;4;
RIO BRANCO;AC;;;21;1;;D;4;A;A;19;5;4;5;5;4;
