NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
MACAPA;AP;;;37;1;;B;7;B;E;;;;;;;
MACAPA;AP;;;29;1;;C;6;A;A;13;5;4;5;5;5;
MACAPA;AP;;;39;1;;B;5;A;A;25;3;5;5;5;5;
MACAPA;AP;;;27;1;;F;5;A;A;18;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;2;H;3;A;A;;;;;;;
SANTANA;AP;;;25;1;;B;6;B;A;;;;;;;
MACAPA;AP;;;21;1;;B;6;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;17;2;1;B;3;A;A;;;;;;;
MACAPA;AP;;;20;1;;G;8;A;A;;;;;;;
LARANJAL DO JARI;AP;;;24;1;;B;2;A;A;17;5;0;5;5;3;
MACAPA;AP;;;19;1;;H;8;A;A;;;;;;;
SANTANA;AP;;;20;1;;B;4;A;C;;;;;;;
MACAPA;AP;;;25;1;;D;5;A;C;16;4;0;3;3;3;
MACAPA;AP;;;17;3;;D;6;A;B;16;2;0;5;3;0;
MACAPA;AP;;;26;1;;C;4;A;A;21;5;5;5;5;5;
MACAPA;AP;;;24;1;;C;4;B;A;16;4;3;5;5;5;
MACAPA;AP;;;31;1;;C;5;A;B;14;2;5;5;4;2;
MACAPA;AP;;;38;1;;F;5;A;B;18;5;5;5;5;4;
MACAPA;AP;;;26;1;;B;3;A;A;19;5;5;5;5;5;
SANTANA;AP;;;37;1;;B;4;B;A;18;5;0;5;5;5;
SERRA DO NAVIO;AP;;;21;1;;C;10;C;B;18;5;5;5;5;0;
LARANJAL DO JARI;AP;;;28;1;;D;4;A;A;21;5;5;5;3;1;
MACAPA;AP;;;20;3;;C;6;C;A;17;5;0;3;5;4;
MACAPA;AP;;;20;1;;B;4;A;A;;;;;;;
MACAPA;AP;;;36;1;;B;3;A;A;16;5;5;2;5;5;
MACAPA;AP;;;19;1;;B;5;A;A;;;;;;;
PEDRA BRANCA DO AMAPARI;AP;;;20;1;;D;3;A;A;;;;;;;
MACAPA;AP;;;17;3;;C;4;A;A;;;;;;;
MACAPA;AP;;;39;1;;A;6;A;A;;;;;;;
MACAPA;AP;;;38;1;;B;5;A;A;15;4;5;5;5;5;
MACAPA;AP;;;23;1;;B;4;A;A;22;5;5;5;5;5;
MAZAGAO;AP;;;38;1;;B;5;B;A;25;5;5;5;5;2;
MACAPA;AP;;;33;1;;B;5;A;A;22;4;4;4;3;5;
SANTANA;AP;;;19;1;;C;6;A;A;;;;;;;
MACAPA;AP;;;23;1;;A;7;A;A;;;;;;;
MACAPA;AP;;;26;1;;B;7;A;B;16;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;1;B;3;A;A;14;5;0;5;5;0;
SANTANA;AP;SANTANA;AP;17;2;1;D;6;A;A;;;;;;;
MACAPA;AP;;;20;1;;D;4;A;A;17;4;0;5;5;1;
SANTANA;AP;SANTANA;AP;19;2;1;F;10;A;A;17;5;0;5;0;0;
MACAPA;AP;MACAPA;AP;19;2;1;B;7;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;18;2;1;C;7;B;A;18;4;3;5;5;5;
SANTANA;AP;;;22;1;;B;7;A;A;18;5;0;3;4;5;
SANTANA;AP;SANTANA;AP;20;2;1;B;4;A;B;16;0;5;5;5;0;
LARANJAL DO JARI;AP;LARANJAL DO JARI;AP;21;2;1;B;5;A;A;;;;;;;
MACAPA;AP;;;20;1;;H;4;A;A;;;;;;;
MACAPA;AP;;;45;1;;C;7;A;A;25;4;4;4;4;4;
MACAPA;AP;;;20;4;;C;8;A;B;;;;;;;
MACAPA;AP;;;17;3;;E;3;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;21;2;2;N;4;A;A;;;;;;;
MACAPA;AP;;;33;1;;C;4;A;A;15;4;0;5;5;4;
MACAPA;AP;;;17;3;;B;4;A;A;16;5;0;5;5;4;
MACAPA;AP;MACAPA;AP;17;2;1;B;2;A;A;;;;;;;
MACAPA;AP;;;34;1;;B;8;A;C;20;4;3;5;4;4;
SANTANA;AP;;;29;1;;B;5;B;C;14;2;5;5;5;5;
MACAPA;AP;;;19;1;;B;7;A;A;;;;;;;
SANTANA;AP;;;31;4;;B;3;A;E;18;0;5;5;5;3;
PORTO GRANDE;AP;;;18;1;;G;4;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;17;2;1;B;6;A;A;;;;;;;
SANTANA;AP;;;26;1;;B;3;A;A;18;1;0;1;1;1;
SANTANA;AP;;;21;1;;C;5;A;A;;;;;;;
MACAPA;AP;;;19;1;;B;7;A;A;;;;;;;
PORTO GRANDE;AP;;;23;1;;B;6;A;A;;;;;;;
MACAPA;AP;;;26;1;;C;4;A;A;16;5;0;4;3;1;
SANTANA;AP;;;19;1;;D;7;A;A;14;5;0;5;5;5;
SANTANA;AP;;;30;1;;C;4;A;A;16;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;1;B;4;A;A;;;;;;;
MACAPA;AP;;;31;4;;D;5;A;E;17;5;5;5;5;5;
CALCOENE;AP;;;16;3;;B;5;A;A;;;;;;;
MACAPA;AP;;;27;1;;B;3;A;A;18;5;5;5;5;5;
SANTANA;AP;;;21;1;;B;10;A;A;;;;;;;
CALCOENE;AP;;;18;1;;B;10;A;A;15;5;3;5;3;3;
MACAPA;AP;;;33;1;;C;4;A;A;18;5;4;5;5;5;
MACAPA;AP;;;34;1;;B;4;C;A;24;5;5;5;5;5;
MACAPA;AP;;;21;1;;B;2;A;A;17;0;5;5;5;5;
MACAPA;AP;;;24;1;;B;5;C;A;;;;;;;
MACAPA;AP;MACAPA;AP;19;2;1;B;3;A;A;;;;;;;
MACAPA;AP;;;19;1;;E;4;A;A;;;;;;;
SANTANA;AP;SANTANA;AP;17;2;1;B;5;A;A;;;;;;;
MACAPA;AP;;;20;1;;E;6;A;A;;;;;;;
LARANJAL DO JARI;AP;;;17;3;;B;9;A;A;;;;;;;
MACAPA;AP;;;27;1;;B;4;A;A;19;2;2;2;1;1;
MACAPA;AP;;;20;1;;A;4;B;A;;;;;;;
MACAPA;AP;;;21;1;;C;6;A;A;16;5;0;3;5;2;
MACAPA;AP;;;34;3;;B;4;A;E;16;0;5;5;3;5;
SANTANA;AP;;;31;1;;H;4;A;A;13;5;5;5;5;5;
MACAPA;AP;;;15;3;;C;5;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;19;2;1;B;4;A;A;;;;;;;
MACAPA;AP;;;19;1;;E;6;A;A;16;5;1;4;4;5;
MACAPA;AP;;;36;1;;B;1;A;A;18;5;5;5;5;5;
MACAPA;AP;;;18;1;;D;3;A;A;;;;;;;
VITORIA DO JARI;AP;;;19;1;;B;15;A;A;;;;;;;
MACAPA;AP;;;21;4;;A;3;A;D;17;5;0;5;5;5;
MACAPA;AP;;;23;1;;F;2;A;A;18;3;2;4;4;3;
MACAPA;AP;;;16;3;;G;4;A;A;;;;;;;
LARANJAL DO JARI;AP;;;15;3;;A;6;A;A;;;;;;;
MACAPA;AP;;;16;3;;B;3;A;A;;;;;;;
LARANJAL DO JARI;AP;;;19;1;;F;3;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;17;2;1;H;4;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;20;2;1;C;4;A;A;;;;;;;
