NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
BOA VISTA;RR;BOA VISTA;RR;23;2;1;B;10;A;B;17;4;3;5;5;5;
BOA VISTA;RR;;;17;3;;B;6;A;A;;;;;;;
BOA VISTA;RR;;;22;1;;B;2;B;B;16;5;1;5;5;5;
BOA VISTA;RR;;;33;1;;C;6;E;A;25;5;5;5;5;5;
BOA VISTA;RR;;;24;1;;B;2;A;A;18;0;5;4;4;4;
BOA VISTA;RR;;;33;1;;G;3;A;A;14;5;5;5;5;5;
BOA VISTA;RR;;;21;1;;C;3;A;A;18;5;5;5;5;5;
BOA VISTA;RR;;;31;1;;G;3;A;A;18;0;5;3;5;5;
BOA VISTA;RR;;;41;1;;C;6;A;B;25;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;1;B;3;A;A;;;;;;;
BOA VISTA;RR;;;35;1;;C;6;E;A;14;0;5;5;3;1;
BOA VISTA;RR;;;24;1;;B;8;A;B;16;2;1;5;5;5;
BOA VISTA;RR;;;26;1;;E;3;A;A;16;4;1;5;4;5;
BOA VISTA;RR;;;26;1;;B;8;A;A;18;2;0;5;5;4;
BOA VISTA;RR;BOA VISTA;RR;17;2;2;B;2;A;A;16;3;0;5;5;3;
BOA VISTA;RR;;;17;3;;F;3;A;A;;;;;;;
BOA VISTA;RR;;;22;1;;B;7;A;A;;;;;;;
BOA VISTA;RR;;;26;1;;B;5;A;A;17;3;4;5;5;5;
BOA VISTA;RR;;;16;3;;B;4;A;A;14;5;5;5;5;5;
BOA VISTA;RR;;;15;3;;D;4;A;A;;;;;;;
BOA VISTA;RR;;;16;3;;D;3;A;A;;;;;;;
BOA VISTA;RR;;;63;1;;K;7;A;A;13;5;5;5;5;5;
SAO LUIZ;RR;;;14;3;;J;5;A;A;;;;;;;
BOA VISTA;RR;;;30;1;;D;6;A;A;13;5;5;5;5;5;
