NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ROLIM DE MOURA;RO;;;19;1;;B;3;A;A;16;5;0;5;5;5;
SERINGUEIRAS;RO;;;48;1;;B;4;E;A;18;5;5;5;5;3;
URUPA;RO;;;35;1;;B;3;D;D;18;3;0;3;5;1;
PORTO VELHO;RO;;;29;1;;D;5;A;A;18;4;4;4;4;5;
PORTO VELHO;RO;;;19;4;;C;4;C;A;13;2;3;4;3;5;
JI-PARANA;RO;;;23;1;;E;5;A;A;;;;;;;
PORTO VELHO;RO;;;39;1;;H;2;E;D;15;0;5;5;5;5;
CACOAL;RO;;;20;1;;E;4;A;A;17;2;2;5;5;5;
PORTO VELHO;RO;;;36;1;;G;3;A;A;18;4;5;3;5;5;
PORTO VELHO;RO;;;26;1;;D;6;B;A;19;1;1;1;1;1;
VILHENA;RO;;;22;1;;B;4;A;A;;;;;;;
CEREJEIRAS;RO;;;31;1;;C;3;A;A;16;5;5;5;5;5;
ROLIM DE MOURA;RO;;;23;1;;B;1;A;A;17;3;0;5;5;5;
PORTO VELHO;RO;;;30;1;;C;3;A;A;;;;;;;
VILHENA;RO;;;39;1;;D;3;A;A;16;5;5;5;5;5;
PORTO VELHO;RO;;;23;1;;D;3;A;A;18;5;4;5;5;5;
GUAJARA-MIRIM;RO;;;27;1;;C;5;A;A;18;0;5;5;0;0;
PORTO VELHO;RO;;;32;1;;G;3;A;A;20;5;5;5;5;5;
PORTO VELHO;RO;;;47;1;;F;4;B;B;25;0;5;5;5;5;
GUAJARA-MIRIM;RO;;;16;3;;B;4;A;A;14;2;0;2;3;0;
PORTO VELHO;RO;;;33;1;;E;5;E;A;13;0;2;5;2;5;
PORTO VELHO;RO;;;20;1;;J;3;A;A;19;2;0;5;5;5;
JARU;RO;;;20;1;;B;5;A;A;;;;;;;
PORTO VELHO;RO;;;17;3;;C;5;A;A;14;5;3;5;5;5;
PORTO VELHO;RO;;;27;1;;C;3;A;A;20;2;5;4;5;5;
PORTO VELHO;RO;;;35;1;;G;4;A;E;18;5;5;5;5;5;
PORTO VELHO;RO;;;30;1;;B;1;B;B;18;5;5;5;5;5;
VILHENA;RO;;;22;1;;B;1;C;A;20;5;5;5;5;5;
ARIQUEMES;RO;;;24;1;;C;2;A;A;21;5;5;5;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;32;2;1;B;4;A;E;17;5;5;5;5;5;
PIMENTA BUENO;RO;;;19;1;;B;4;A;A;18;4;0;5;5;3;
COLORADO DO OESTE;RO;;;35;1;;C;5;E;A;13;4;2;5;4;5;
CANDEIAS DO JAMARI;RO;;;20;1;;D;5;A;A;16;5;5;5;5;4;
PRESIDENTE MEDICI;RO;;;45;1;;D;4;E;A;25;5;5;5;5;5;
PORTO VELHO;RO;;;19;3;;C;5;A;A;;;;;;;
URUPA;RO;;;23;1;;A;3;A;A;;;;;;;
PORTO VELHO;RO;;;39;1;;E;3;E;B;17;5;4;5;5;5;
PORTO VELHO;RO;;;52;4;;J;4;E;E;15;0;5;0;5;5;
ARIQUEMES;RO;;;35;1;;C;4;A;E;17;3;5;5;5;5;
ARIQUEMES;RO;;;24;1;;C;3;B;A;18;0;5;5;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;21;2;1;E;4;A;A;16;5;3;5;5;3;
CACOAL;RO;;;41;1;;D;5;E;B;20;5;5;5;5;5;
PORTO VELHO;RO;;;35;1;;B;2;A;A;20;5;0;5;5;5;
PORTO VELHO;RO;;;21;1;;C;7;A;A;16;5;4;5;5;5;
PORTO VELHO;RO;;;38;1;;I;3;A;E;16;3;5;4;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;20;2;1;D;6;A;B;17;2;3;3;5;5;
PORTO VELHO;RO;;;44;1;;H;6;A;A;15;0;5;3;1;5;
SAO MIGUEL DO GUAPORE;RO;;;26;1;;C;2;A;C;17;1;3;4;4;4;
CACOAL;RO;;;25;1;;C;4;A;A;;;;;;;
VILHENA;RO;;;23;1;;C;6;B;A;14;4;3;4;2;5;
SAO FELIPE D OESTE;RO;SAO FELIPE D OESTE;RO;45;2;1;B;3;E;A;22;0;5;0;0;0;
PORTO VELHO;RO;;;22;1;;E;5;A;B;14;5;5;5;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;17;2;1;B;5;A;A;;;;;;;
PORTO VELHO;RO;;;27;1;;C;2;A;A;;;;;;;
JI-PARANA;RO;;;57;1;;D;3;A;A;13;0;5;5;5;5;
VILHENA;RO;;;35;1;;D;3;D;B;16;5;5;5;5;5;
PORTO VELHO;RO;PORTO VELHO;RO;44;2;1;C;3;E;A;13;3;5;5;5;4;
JARU;RO;;;16;3;;E;4;A;A;;;;;;;
PORTO VELHO;RO;PORTO VELHO;RO;35;2;1;B;1;E;A;16;3;5;5;3;4;
VILHENA;RO;;;16;3;;D;5;A;A;;;;;;;
PORTO VELHO;RO;;;28;1;;F;2;A;A;19;5;5;5;5;5;
PORTO VELHO;RO;;;32;1;;D;5;A;D;14;5;5;5;5;5;
CACAULANDIA;RO;CACAULANDIA;RO;19;2;1;B;1;A;A;18;5;1;5;5;5;
