NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
PARAISO DO TOCANTINS;TO;;;19;1;;B;2;A;A;18;5;5;5;5;5;
ARRAIAS;TO;ARRAIAS;TO;19;2;1;C;4;A;A;13;5;5;5;5;5;
ARAGUAINA;TO;;;23;1;;C;3;A;A;14;5;5;5;5;5;
DIANOPOLIS;TO;;;20;1;;B;6;A;A;18;4;4;4;5;5;
PARAISO DO TOCANTINS;TO;;;32;1;;C;3;A;D;16;5;5;5;5;3;
PALMAS;TO;;;19;1;;E;5;A;A;;;;;;;
PALMAS;TO;PALMAS;TO;20;2;1;D;2;A;A;;;;;;;
ITAGUATINS;TO;;;18;1;;B;4;A;A;;;;;;;
PALMAS;TO;;;43;1;;H;4;A;A;18;3;5;3;5;5;
SAO BENTO DO TOCANTINS;TO;SAO BENTO DO TOCANTINS;TO;20;2;1;C;3;A;A;;;;;;;
CRISTALANDIA;TO;CRISTALANDIA;TO;18;2;1;F;3;A;A;17;0;5;5;5;5;
PARAISO DO TOCANTINS;TO;PARAISO DO TOCANTINS;TO;20;2;1;D;4;A;A;16;5;3;5;5;5;
ARAGUAINA;TO;ARAGUAINA;TO;21;2;1;B;2;A;E;20;3;5;5;5;0;
ARAGUAINA;TO;ARAGUAINA;TO;19;2;1;C;6;A;A;;;;;;;
PORTO NACIONAL;TO;;;18;3;;B;4;A;A;17;5;0;1;2;0;
PALMAS;TO;;;20;1;;B;2;A;A;18;3;0;5;5;5;
PALMAS;TO;;;43;1;;N;4;E;E;17;0;0;5;5;5;
PALMAS;TO;PALMAS;TO;18;2;1;C;5;A;A;;;;;;;
PALMAS;TO;;;16;3;;B;5;A;A;;;;;;;
BERNARDO SAYAO;TO;;;41;1;;B;4;A;C;14;5;5;5;5;5;
ARAGUAINA;TO;;;15;3;;L;4;A;A;;;;;;;
PALMAS;TO;;;19;1;;B;6;A;A;;;;;;;
PALMAS;TO;;;17;3;;C;4;A;A;;;;;;;
APARECIDA DO RIO NEGRO;TO;;;21;1;;B;2;A;A;;;;;;;
ARAGUATINS;TO;;;19;1;;B;5;A;A;;;;;;;
RIO DA CONCEICAO;TO;RIO DA CONCEICAO;TO;24;2;1;D;7;D;A;18;5;5;5;5;3;
PARAISO DO TOCANTINS;TO;;;20;1;;D;5;A;A;18;4;0;5;5;2;
ARAGUAINA;TO;;;18;1;;B;4;A;A;17;5;5;5;5;5;
PORTO NACIONAL;TO;;;25;1;;C;5;A;A;16;5;0;5;5;5;
BURITI DO TOCANTINS;TO;;;14;4;;C;5;A;A;;;;;;;
PALMAS;TO;;;24;1;;D;2;A;A;15;1;5;3;4;4;
PALMAS;TO;;;24;1;;B;1;A;C;16;0;0;5;5;5;
FORMOSO DO ARAGUAIA;TO;;;20;1;;C;4;A;A;18;5;0;5;5;5;
PALMAS;TO;;;20;1;;B;2;A;A;17;5;5;5;5;5;
XAMBIOA;TO;;;18;3;;D;5;A;A;;;;;;;
PALMEIROPOLIS;TO;PALMEIROPOLIS;TO;27;2;1;C;3;A;A;16;5;5;5;5;5;
PARAISO DO TOCANTINS;TO;PARAISO DO TOCANTINS;TO;18;2;1;E;6;A;A;15;5;5;5;5;5;
